protein	Training_1	Training_2	Training_3	Training_4	Training_5	Training_6	Training_7	Training_8	Training_9	Training_10	Training_11	Training_12	Training_13	Training_14	Training_15	Training_16	Training_17	Training_18	Training_19	Training_20	Training_21	Training_22	Training_23	Training_24	Training_25	Training_26	Training_27	Training_28	Training_29	Training_30	Training_31	Training_32	Training_33	Training_34	Training_35	Training_36	Training_37	Training_38	Training_39	Training_40	Training_41	Training_42	Training_43	Training_44	Training_45	Training_46	Training_47	Training_48	Training_49	Training_50	Training_51	Training_52	Training_53	Training_54	Training_55	Training_56	Training_57	Training_58	Training_59	Training_60	Training_61	Training_62	Training_63	Training_64	Training_65	Training_66	Training_67	Training_68	Training_69	Training_70	Training_71	Training_72	Training_73	Training_74	Training_75	Training_76	Training_77	Training_78	Training_79	Training_80
FBXO7	NA	1.026456933	NA	NA	NA	2.05856592	1.731435558	1.79803489	0.98354968	1.727943051	2.248540537	1.941913297	1.059868373	2.011366602	1.367080682	1.246899483	1.798245291	1.089580972	1.901802624	2.192391841	NA	1.006452962	1.028750729	1.066003408	2.323559651	1.003167797	1.031948886	1.100106387	NA	1.610929006	1.64084007	0.98354968	NA	NA	0.98354968	1.006452962	NA	1.660844969	2.142232511	NA	NA	1.006403404	NA	NA	NA	2.151846461	1.181906718	NA	1.013540833	NA	0.98354968	2.050212224	1.771655708	1.356080644	NA	1.687865385	1.439820259	1.090337289	NA	1.516605188	1.346363237	2.187337775	1.67216559	NA	1.04137679	1.805074894	1.196122589	NA	1.066129118	NA	NA	1.003167797	1.968898766	1.941402744	1.016474257	NA	NA	1.036401084	2.666684552	2.306502422
FCER1G	0.996845755	1.000731561	NA	NA	1.135490221	1.387753766	1.533888187	1.58330502	NA	1.014227125	1.014227125	NA	1.102897139	0.985127851	1.86631209	NA	NA	1.137541479	1.029433107	1.46492181	NA	0.985127851	NA	1.031462292	NA	1.036973564	NA	2.181126328	NA	1.014227125	NA	1.014227125	NA	0.985127851	1.014227125	0.985127851	NA	1.481411658	NA	NA	NA	NA	NA	1.008473232	NA	1.029433107	1.245563917	0.985127851	1.452757538	2.301785447	1.014227125	NA	1.139734669	NA	NA	1.014227125	1.025647333	1.138424152	1.127904542	NA	0.985127851	1.365174307	NA	1.001585204	1.081369446	1.025647333	1.2622411	NA	NA	1.048207384	1.236185848	1.646370167	1.709782512	NA	1.475769598	1.008473232	1.236092129	1.008473232	1.015726389	1.000731561
FCGBP	6.937488622	3.086689387	6.993832723	7.056236287	4.682757491	7.109987943	0.997310571	7.27203127	1.03831997	1.204209982	5.710993243	4.812369106	7.303126332	5.097607787	3.351694417	NA	8.852143207	NA	4.041385908	5.279961848	2.954912914	0.983585575	5.839652332	6.854325229	5.539749587	NA	5.293288066	7.323388434	NA	3.766265194	9.502727917	8.078182578	4.611443783	4.539456446	7.263426475	7.808723874	6.254462921	6.203683213	7.337378905	3.810567128	6.493071343	5.510650642	5.890342518	7.837204272	5.781284918	4.783124423	6.034296595	4.453621248	7.300344769	4.327515587	NA	7.320715795	4.473244632	6.143486916	1.159993526	4.541381222	6.41812401	6.468230128	4.652053213	6.594720728	6.942131817	2.219441079	4.383157276	5.977203909	2.37907431	8.826481588	2.260012127	6.110596589	5.782549391	2.189847544	NA	5.670784012	0.983585575	7.482572066	6.344001107	4.326516334	5.069721547	2.897221202	6.557493402	5.258920807
FCGRT	1.539647368	1.982211115	2.551540475	2.0323427	NA	NA	NA	2.003016184	1.943308753	1.554851276	1.92515457	NA	1.088473569	1.793424052	1.821978383	1.299149301	1.925698148	1.893520389	2.394802465	2.266670591	1.934864472	1.44906292	2.177610016	1.044822845	2.784163946	1.648043972	1.057176838	1.072541933	NA	1.712351593	1.057176838	1.746402328	2.474244141	0.996181778	1.868816378	1.821223682	1.099797123	1.918829773	0.999081785	1.503857109	NA	2.110407273	1.803936741	1.655891795	1.881854947	NA	1.624172389	1.436214339	NA	NA	1.074734906	1.758951281	1.895401998	1.84560182	1.882175012	NA	1.928992439	NA	1.112552194	0.996181778	1.270357076	2.088833589	1.971331732	1.658361553	1.757057801	2.285955216	1.241800322	2.106992098	1.827812707	1.035790599	2.889701023	1.610823572	NA	2.088830417	1.513009785	1.020683096	1.216653389	1.66585331	1.448220183	2.023728903
FCHO2	1.058444811	NA	2.253716016	1.853043273	NA	2.035750156	NA	2.595754663	2.28625035	1.946931328	2.6134522	NA	1.037047341	1.454329607	3.129767993	2.072741137	2.943553167	NA	1.895817714	3.168220849	NA	1.580580388	2.339475287	3.066804238	1.637942829	1.540191632	1.00880744	1.133769474	1.717674769	2.292256983	2.061880506	2.561902622	1.044021706	2.077000591	1.738539617	1.535673007	1.165899547	2.14147436	1.047422179	1.048840113	1.520354472	2.264528508	NA	1.072772035	2.097335689	2.152438656	2.227904434	2.048256341	1.627868727	2.072735898	2.277751555	3.122108743	2.186716924	2.024227072	1.061131684	1.973100268	2.947635139	2.158451352	NA	2.004292377	1.86585556	2.423245718	1.056460842	2.744304179	2.068838971	2.367708874	1.175162666	1.52038249	NA	0.98949837	NA	2.194485682	2.631710657	0.982988731	1.65686242	2.369325209	1.898255636	2.322766835	1.72290567	1.788473965
FDFT1	1.784716084	0.953864389	NA	NA	2.029420752	1.958020706	NA	NA	2.422677093	1.234684853	1.297954052	2.783748366	2.504222262	3.147049098	1.066304529	NA	1.78600962	NA	NA	2.719736801	NA	1.71675256	NA	NA	1.141429953	NA	2.375081504	NA	NA	1.066304529	1.884280617	1.884280617	3.611158858	2.491425204	2.018470255	2.658074552	1.031668054	2.024776317	3.126317798	NA	2.214933936	3.632142316	0.993301515	0.961117136	1.020827603	1.708916776	1.311680461	0.93924621	1.377715741	NA	1.14527789	NA	NA	2.873799676	1.189839851	2.303606743	NA	NA	2.525259887	2.719929722	1.555046622	NA	2.406835633	2.445755637	1.89596899	3.03115663	NA	2.347489142	NA	3.965806599	1.301743449	1.090452458	1.220600021	1.796369941	2.693097163	2.659630297	3.173560907	2.638024939	2.677067278	2.559980631
FDPS	3.371638214	2.201737258	2.907906131	2.326975949	2.766343591	3.275741549	2.993734448	2.595234602	2.06669295	2.538709083	2.660262657	3.888617307	3.661344326	3.594241549	2.830898814	2.681581644	2.358116429	1.489945426	3.558730559	3.433213717	2.576399751	2.305328297	2.980407384	1.873412981	2.181485289	2.066307028	2.635567329	2.773168964	2.274611455	3.28153233	3.304841348	2.170456414	3.686871227	3.415936755	2.913710169	2.612310057	3.229208386	2.977431784	3.651637621	2.302415068	3.253482221	3.181109061	1.67690521	2.283551621	2.949955297	3.472045998	3.766207188	1.298403068	3.317046992	2.21614995	2.911709323	1.432371613	NA	2.626646658	2.766194304	2.568539034	3.80353769	2.317441394	2.775779743	3.548525547	2.800368308	2.812349329	3.116289054	3.762606871	2.677170151	3.425090323	2.565071545	3.074383542	NA	2.858526388	1.59677513	2.458806878	3.066876421	3.92363707	2.860183742	3.596452233	3.373749298	2.990984093	3.150122403	2.588533939
FDXR	2.808039574	2.686240363	2.041319735	2.81056801	2.096628924	2.656309603	2.570398125	3.191687111	2.899024599	3.241605116	1.407343543	1.428490853	2.535144746	3.067233624	3.489161392	3.840084807	3.664048904	2.86754907	3.120183348	3.32321744	0.883398106	0.774256499	1.237069042	0.817238719	2.429395197	2.278345286	1.942032799	1.54015589	1.300208653	3.222584008	3.079415519	2.809721255	2.185348499	4.585183291	2.939373808	2.47272608	NA	3.180531212	3.571441	2.928914227	2.798224683	2.956217262	2.579097729	2.120572937	2.613893739	1.198450671	3.639178103	2.85655839	1.93414146	2.005927091	3.638119192	2.434118598	NA	2.0628212	1.303016265	3.813285992	2.790231189	1.311019671	2.554483116	3.66350349	2.578132154	2.590597506	3.791762623	2.984446443	1.252249361	3.832771349	NA	2.809449682	2.044692445	3.70590845	1.410984788	2.596790766	2.803846692	2.905020075	2.328910593	2.638646818	1.410889373	3.307595453	2.41701288	3.462952029
FECH	0.978819466	0.98300443	1.580431651	NA	NA	0.966206618	1.565368875	0.991345598	1.655165089	1.023618151	1.924302996	1.249820977	NA	1.79450626	1.023618151	1.023618151	1.663403418	1.140476744	1.619371006	1.489364778	1.942842178	0.966206618	1.719506827	NA	2.198937151	1.04521563	NA	NA	NA	2.248207845	1.076921459	1.357151856	NA	NA	1.470671192	1.395447311	1.072708866	1.507524572	0.969180566	0.970420597	NA	1.048778832	NA	1.650533589	1.060181992	1.595048017	1.023618151	1.844112401	0.972161343	2.548427179	NA	NA	NA	NA	NA	1.023618151	2.792936331	1.141311327	1.131363236	0.966206618	0.966206618	1.354997866	NA	0.98392395	1.760906348	1.9323904	NA	0.966206618	1.114604612	NA	NA	1.618560755	1.759753748	NA	1.501310193	NA	NA	1.660951424	NA	1.616407382
FEN1	2.992578706	3.011223027	2.90881423	2.277240911	2.227064583	3.428098836	3.659849662	3.015203541	2.826461682	2.881972946	3.181526155	2.440318121	1.39298173	2.607219658	2.737854435	2.591428526	1.999016749	2.242047794	2.745274928	1.461106941	1.461252555	1.711533949	2.058606667	2.627333588	2.873046723	2.748662564	2.546336123	3.08391826	2.635817857	2.056384874	2.579391845	2.425864963	3.333262311	2.930448465	2.819125106	3.441963557	3.026101734	3.44212349	2.99208923	2.421738485	2.909473871	2.802681669	3.304998295	2.17586999	1.883709617	3.698800481	2.945230464	2.466898875	2.86109088	2.136074468	2.81716098	2.889513161	2.243963778	2.537595931	1.422388023	3.167730024	2.63283758	3.038240322	1.419498258	2.653913036	3.053336888	3.180588288	2.809562307	2.625795648	2.587104769	2.637092461	3.000210896	3.653765866	1.400726723	3.496446874	2.396691759	2.725805599	3.316102011	2.008790258	3.380378062	3.758067677	1.53313423	2.205457924	2.547055634	2.531480811
FERMT1	2.366466931	3.355261618	1.514480136	2.59478333	3.744860583	2.024147614	1.861654375	1.897447928	4.523856894	3.18449531	2.020162095	NA	1.925878722	2.890397777	2.510437109	2.05808672	1.309668794	3.084627754	3.28218115	1.834257406	2.535830679	3.940841001	2.288179102	1.011060959	1.841245516	2.161390439	3.454343087	1.729306386	3.287096569	3.164150536	2.341744839	2.457172065	1.841003367	3.823983203	2.597331321	3.692466539	2.837691466	2.093287665	2.844552552	4.154865247	3.157709384	3.699684733	3.85571885	1.948794851	1.050778647	2.099945156	2.002464144	2.582344603	2.321764104	1.114835043	3.374340033	2.67277622	1.98854431	3.634621102	2.803460302	3.643967721	2.969050185	2.832703152	3.12297073	3.94010058	3.913215775	3.541254645	1.86813323	1.578756957	2.972450361	1.592172049	NA	3.616276643	1.13694202	1.733231421	1.266078918	1.061855928	1.258599729	1.744884736	1.444415177	3.506872545	2.148956187	2.529808376	1.512678392	2.822942772
FERMT2	4.257251915	3.230208501	3.609336302	5.559925438	3.940242404	2.865982816	4.219906771	3.834023535	4.602071265	4.475442774	4.765821339	2.98317175	4.445406852	5.333779717	2.183859721	3.219101695	4.086364321	4.392013163	4.083736208	3.247658101	4.808031265	3.920013364	4.389857803	2.091605876	4.631743294	4.642989448	3.839744222	2.755204484	2.955958979	4.691950174	1.784516154	2.644105019	2.655390459	2.840988679	4.616147868	4.187307251	3.707815561	3.569490283	3.233335568	3.125455482	3.00125884	3.424337066	3.639357426	4.198164087	5.490739192	3.265715485	4.304791378	2.86569873	3.426766091	4.685749875	3.27162993	4.594738999	2.763750527	4.450340768	4.103712669	3.379839202	3.578050693	2.749158557	4.644731001	2.04846338	3.409251185	4.190346921	3.021355034	4.028426671	2.284299285	3.241233036	1.268119025	3.889515659	5.010137699	1.057001978	4.186324023	5.243429814	2.272899955	2.134292653	3.141862853	2.849113406	1.242356316	3.824598104	4.012524949	2.741235521
FERMT3	3.678195867	3.489664181	3.064549831	2.603169694	2.556064185	4.497443648	4.788495699	3.987855352	3.252029007	3.61733364	3.865511216	3.659985473	4.533019183	3.742726979	4.663887193	4.600292577	4.412485111	4.268691833	3.971126446	4.179766039	4.321808834	2.795512585	3.981573635	2.126923693	4.446708144	4.266344312	3.685578903	4.444276691	4.162862212	4.559858613	1.97862202	3.698690684	4.527899554	4.443805466	3.607620728	4.056718547	3.181313354	4.657537902	3.559335337	3.479442938	2.768116846	1.231893856	2.544391641	2.954852722	4.033973414	4.567598649	3.636108443	3.611158186	4.464961418	3.599246268	3.008354039	3.879120732	4.763227947	3.244679799	3.638427728	3.920557686	4.817372787	4.019608011	3.9245415	3.075683213	3.599563955	4.200904131	3.126850326	4.560052	5.007462604	3.92584239	4.427208775	3.486118753	4.227428997	3.376977701	3.831382545	3.633071356	4.369684822	2.91153913	4.313319352	3.334172598	2.79291543	3.55781494	4.205377737	3.999556179
FGA	5.803301791	6.77572358	5.735327319	6.531613885	6.083788122	7.428562536	6.450120217	6.416626182	6.668281861	5.873314035	6.296894871	6.014845751	6.967395862	6.401003537	8.353873357	6.528803056	5.352436427	6.384745546	6.435430229	7.224477521	7.666934501	5.608688984	5.692893488	3.918790232	7.224638748	5.656597498	5.719811062	8.364160547	6.853243308	6.588468956	5.216043828	5.640062673	7.491261177	4.683542739	6.410723444	5.804925375	7.299003715	7.074225074	7.411666767	6.330045709	5.578205631	5.266172978	6.27032009	5.292604733	6.92664385	5.160263414	6.626241293	5.003874433	6.868242325	6.148715109	5.059178204	6.798653367	7.033031112	5.613210309	5.795498057	6.429291006	7.234719305	5.625713413	6.601166686	6.312029872	6.075926233	7.240646518	4.903639768	6.639498974	7.383710796	6.290296423	5.732856081	5.731199207	6.452839328	5.076161596	7.128032288	6.662496598	6.884449566	6.299815308	6.985643305	5.378795398	5.440083067	7.103697854	5.738057546	6.554379488
FGB	5.840332283	6.250106793	6.096539076	6.510571508	5.53005458	8.15589394	6.168245576	5.772863425	6.528785169	5.558138604	6.004238714	6.097484173	6.931895065	6.444646532	8.799206717	6.769215948	5.408686559	6.356681487	6.017591525	7.539603371	7.587075708	4.733242562	5.340681387	4.513077845	7.258057485	5.492087095	5.562941074	8.181421007	6.581845818	6.295897403	4.953379866	5.532100792	7.024659089	4.443082979	6.335011584	5.683197332	7.020001382	6.798728707	7.904948258	6.448298172	5.39626057	5.377560914	6.017490585	5.988917554	6.864092233	5.142745958	6.73473335	4.789247822	6.39099225	5.344877325	5.223933645	6.567256521	7.072545772	5.379481532	6.009691697	6.614918937	7.125650483	5.681320159	6.252359993	5.857568023	5.194567309	7.29708895	5.713011109	6.456863965	7.75588126	6.916588342	5.503707294	5.402678409	6.474559641	4.833027893	6.834002724	6.517507077	7.041739617	5.078976566	7.097957681	5.09398834	5.031899087	7.615401773	6.017011856	6.74025974
FGG	6.366231688	7.060373279	6.324546569	7.084684923	6.488231673	8.513540131	6.713271443	6.611019819	6.822934325	6.066649297	6.737144267	6.705142205	7.439205681	6.725680769	8.31166173	7.007201965	6.301117875	7.036391271	6.542882489	7.921793338	7.839203106	5.699941004	6.548841169	4.617282275	7.533483263	6.410394552	5.960879474	8.087676035	7.296310395	6.703956381	5.45666173	6.145165098	7.898665984	5.271802957	6.724739639	6.198142713	7.563412464	7.264918392	8.157245817	6.946430856	6.143274689	6.219776677	6.6420456	6.222561612	7.232960909	6.034881656	6.82841403	5.287599318	6.713232153	6.450741279	6.170312953	7.188804344	7.7697215	6.076387614	6.713669712	6.950828816	7.469268939	6.36995371	6.925272092	6.376984567	5.985582312	7.550663813	6.093579213	6.78068861	8.229838209	7.053880209	6.631843698	5.906898485	7.063701886	6.030166926	7.353994617	6.874189452	7.328198934	6.041364683	7.345047181	5.993379231	6.033422083	7.81066114	6.66951034	7.732239444
FGL2	NA	NA	NA	NA	NA	NA	2.373745887	NA	1.531106697	2.096441697	2.533003419	1.179322289	2.090715721	NA	2.784141037	1.564868817	2.211836059	2.103534779	0.994277663	1.003401172	NA	NA	2.27772511	NA	2.487185594	1.530800714	NA	NA	1.075978581	2.532192128	NA	1.272683669	NA	0.997889483	1.37122637	NA	NA	NA	NA	NA	0.997889483	1.919887635	NA	1.030831331	NA	1.479035655	0.981604634	0.997889483	1.005679211	3.651890058	NA	1.040459664	1.085754948	0.981604634	NA	0.981604634	2.063912415	NA	2.106967969	NA	NA	2.532192128	NA	NA	1.037444218	2.06750397	NA	NA	1.682225236	1.009902391	NA	2.142561107	NA	1.546195908	NA	NA	NA	2.528466107	1.361970451	NA
FH	4.630591342	4.717336508	4.510421567	4.320261731	4.375081417	4.933716475	4.813679938	4.90142611	5.094072112	4.726001925	4.865309647	5.318875157	4.594835798	5.072107246	4.43427007	4.788122453	5.410644399	4.085748312	4.873624466	5.046036927	4.159970593	5.233459641	4.484998863	5.366101783	4.482259077	4.667516522	4.846916348	4.813138205	3.896737855	5.330238974	5.238253161	5.472552317	5.17460021	5.683930419	4.668992349	5.133339113	4.114816788	5.0871202	5.228260249	4.583803544	4.576701367	4.378566335	4.890522918	4.473561995	4.235955973	4.555955682	5.247424982	5.482189691	4.934656055	4.320815548	5.110026807	5.14425324	4.123795997	4.652713919	4.143418248	4.998925356	4.786902714	5.379943987	4.247914444	4.714788121	5.169454901	4.305715891	4.944219234	4.936253458	4.06230269	5.165793344	2.967518818	5.084643266	4.320729862	4.602922656	4.734118014	4.069341895	4.935002512	5.588853821	4.897602705	4.795498012	5.774433311	4.077049707	4.805242541	4.385797195
FHL1	4.746591247	4.29157415	3.995189649	5.519222806	4.906164294	3.688763262	3.58721938	4.485883976	4.863413903	5.092827576	4.82360283	3.382828605	4.657136631	4.547639654	1.415782191	2.953964354	4.579852412	4.896907061	4.218350473	2.851577201	5.709914813	2.970195901	4.792869921	3.609559887	5.069332621	5.271201869	4.904890441	NA	2.837063381	5.400500754	3.021650568	3.805410303	2.530600276	4.388394824	5.71577011	3.873738622	1.939087614	4.537374778	3.100619691	4.320390995	3.929161969	4.04110703	3.175535985	4.42319602	5.656137375	2.790175292	4.79305738	4.560957947	4.676851385	5.449570976	3.269194197	5.490744766	3.166286148	4.684562744	4.280256974	3.389815087	3.140596726	1.111425989	4.534945728	2.141640434	3.969801857	4.156350822	2.956519493	4.429949351	2.768012397	3.279202646	3.553644413	3.751143079	5.065098699	1.629975293	4.240945791	5.522316084	2.980080843	1.640628624	3.905303172	3.56929392	NA	2.749512216	3.630245939	3.697567638
FHL2	3.877372647	3.377816623	3.760405339	4.791698282	3.811030033	3.579981054	2.044918671	3.560391975	3.911550122	3.936393584	4.18658582	2.556478335	3.028493521	4.600493521	3.614597374	4.11407836	4.313116083	4.102104611	4.027303525	3.49366192	3.2836626	4.377259959	3.898406815	1.85248418	3.244988339	3.650644185	3.998511511	4.100944083	3.801840485	2.849589245	3.364307808	2.788079686	3.53405184	3.750118212	4.349951407	3.426508761	3.199881559	3.146356983	3.785329772	4.038737289	3.951777479	4.123990635	3.232910769	3.704174684	4.225579111	2.619818185	3.749405427	4.32148934	3.75774738	4.062902502	4.537155738	2.523656308	3.854778314	2.857625171	3.286444388	3.939479204	4.130393934	2.98165709	3.460718568	2.856577732	3.950226779	3.430197069	3.892459824	4.210441919	3.789916846	3.572561297	2.071205186	3.963646774	3.346063965	2.963151319	2.531176159	3.797339069	2.891266232	3.171943101	3.762828811	3.517907757	3.931448271	3.597331194	3.156207414	2.386008915
FHL3	1.143888928	NA	NA	3.923721925	1.014322211	NA	1.147395129	2.488257349	2.335610222	2.029223029	2.300920278	NA	2.342647805	2.205681378	2.598544239	1.960951892	1.949840378	1.015989117	2.52767769	1.810214191	NA	2.308537393	2.957938113	NA	2.203061791	1.806308813	1.526455053	1.229723903	1.008157089	1.513789666	NA	0.915590014	NA	1.127461358	2.705014941	1.127461358	NA	1.143888928	1.131334135	1.132949063	1.127461358	1.85067112	NA	1.160210213	NA	1.407788498	1.43939369	2.269616288	NA	3.077081825	1.467502787	1.937674839	1.668468857	1.626350753	2.986386816	NA	2.635816454	NA	2.951130908	1.127461358	1.496640894	2.070668555	NA	1.150539191	1.95726819	1.35398392	1.117178362	1.127461358	NA	1.465693325	1.096055728	1.776442512	2.160827542	NA	NA	NA	NA	2.033032839	1.631271674	NA
FIBP	NA	1.047455741	1.827480976	1.066016207	NA	NA	1.807602395	NA	NA	NA	1.160329118	NA	1.052072363	1.490459036	1.952083863	1.568519516	1.198656261	1.743786849	0.990381577	1.031387888	NA	NA	NA	NA	1.627018735	NA	1.601787275	1.126502909	1.073004597	0.977572137	1.024824546	NA	1.702499683	1.026012793	1.722683249	NA	1.162656975	NA	1.029805885	NA	NA	0.999887254	NA	NA	NA	0.990381577	1.171100974	NA	NA	NA	1.542035721	1.037076048	NA	1.340821691	NA	1.328730169	2.321316273	1.081800541	NA	NA	NA	1.270288095	NA	NA	1.034026429	1.426725658	NA	1.026012793	NA	NA	NA	0.996728224	1.026012793	NA	1.036753412	2.548060927	NA	NA	0.978835766	1.047455741
FILIP1L	2.397418212	1.068941237	2.129054659	3.078968076	3.25610164	1.051488036	1.067389971	1.721213849	2.757808148	3.043922059	3.426146831	1.999721556	1.75630741	3.515325245	0.958995481	1.24145743	1.201828061	3.072823986	2.294382415	1.58877303	1.182320542	1.977978807	2.430631757	1.103325146	2.419287756	2.297683807	2.700909592	1.132855616	1.765102372	2.163160887	1.010575322	1.66981181	1.585021782	1.972952623	2.9852004	2.239731768	2.533059637	1.064594486	1.054579185	1.591213482	1.479502682	2.019951909	1.90868368	1.077601937	1.148930754	0.97295841	2.311196979	1.947548483	1.057676925	3.2613965	1.584496793	2.435440645	1.07422148	2.729955598	1.800259545	1.721238636	0.969482213	NA	1.063361784	NA	1.051488036	1.66981181	1.062792348	1.754822133	NA	NA	2.035153846	1.479527641	2.504529311	1.582439443	1.162762723	2.275419943	1.387656917	1.99916102	1.060236736	1.077601937	1.162676684	2.190027167	0.960372231	1.068941237
FIP1L1	2.088313154	1.712803447	2.156805912	1.812978756	2.201149789	1.970096245	NA	1.128453576	2.117651416	2.197992422	2.098527026	1.971046849	1.002176302	2.519323253	2.689028334	2.344863088	0.921001619	2.206295671	1.505078326	2.414930276	NA	2.340579084	1.604928449	NA	0.985779719	1.540373426	2.409610445	NA	2.162867703	2.876452678	2.452880018	2.214413671	1.627848636	2.005483413	2.592176247	2.263928248	2.547309449	2.060740639	2.036958384	2.066465729	2.577171369	1.991637976	1.16659669	2.203298031	NA	2.206077558	2.634446145	3.288486718	1.108658128	NA	2.924605145	2.092186467	1.781192411	2.066169945	NA	2.696075549	1.814006235	1.772620356	2.210314908	2.245430133	1.390998538	2.502025256	2.792924821	1.120799998	0.982448735	0.931444498	NA	2.252679895	1.008863756	1.943780693	2.422121473	1.504271994	1.898258105	0.945240329	1.643374649	1.839896725	1.928902512	1.801182347	1.738267578	2.1678517
FIS1	2.417867313	3.397690063	3.421909734	2.952868403	1.924041449	2.672625058	2.37838532	2.919125027	2.775363497	2.620308836	2.732312849	2.148100828	2.784092825	2.650068649	2.709018506	3.280537566	1.688166915	3.043240893	3.013066032	3.031521285	2.586092475	2.77625428	2.241971743	1.058519795	1.794397411	2.985704295	3.174825331	2.900487833	1.888723575	2.75234922	3.206791096	3.386158686	2.942588275	3.469479877	2.818660398	2.647808596	2.63279567	2.146016593	2.892249477	2.61258243	1.390101892	2.83674424	3.139868391	2.946621465	2.77562625	2.402656851	2.86405315	2.632257658	3.032143838	2.658197863	2.550443589	3.365181895	2.443103051	3.144885002	3.365569592	2.483387754	2.658799537	3.313420303	2.407236651	2.749101961	2.883016665	2.721753416	2.764094491	2.578973403	2.30395561	1.982185447	3.172603015	2.47814828	2.704426087	3.053901881	3.544541474	2.988904621	2.446281297	3.452708857	2.342302436	3.309679686	2.653097413	2.580114246	2.555778916	2.696011617
FKBP10	2.983215695	0.982919861	2.654153071	1.867509446	1.173831035	1.338457405	2.242421692	0.990068897	2.10533667	1.994719209	2.889617552	NA	2.523795349	3.771328841	2.324864358	2.916059596	1.329177201	2.048976531	1.729719062	3.661872262	1.076312604	3.667648784	3.327922243	1.964057172	2.404753535	2.619291483	2.390021002	3.291164599	NA	2.46212345	1.103373404	1.882365074	1.405973252	3.158060467	2.393386891	2.880553014	1.05950785	2.242421692	2.585086938	2.882539046	1.675318934	2.68077317	1.021768716	2.193448753	2.801168567	2.540738898	3.211953006	1.70215411	1.397915798	1.123095811	1.042643818	1.896579933	2.051106781	2.380156721	2.53492729	2.316008354	1.054982654	NA	2.545592846	2.156895074	3.040792143	3.528605726	1.814854384	2.206800849	1.894435114	1.629141791	3.704416703	2.170223069	2.467128353	1.079368013	1.282999695	2.195400912	1.632658975	1.071282351	2.794855999	0.990068897	1.282898013	2.937370684	2.964997256	2.860207974
FKBP11	1.843782238	2.388116262	1.526131331	2.362725198	1.974069942	3.100900853	2.474501772	2.158415276	1.253742072	1.617573408	2.348951824	3.121093632	2.452733128	1.960713433	2.258828163	2.064411357	2.025699898	1.990264547	2.830962708	0.997100526	2.506108114	0.993361299	2.303102057	NA	2.684211781	2.545888324	1.073060891	2.624778104	1.937498166	1.014311812	2.358708442	1.384996775	2.313055531	0.993361299	NA	2.70883652	1.087388208	3.074136306	2.297608376	2.318418902	NA	1.740755971	1.717678332	1.943884097	1.786952688	2.469258014	2.006760417	NA	2.301281228	NA	1.014311812	1.842098977	2.884517873	2.312702758	1.977770958	2.250200758	2.733914781	1.982668891	1.977452745	1.717678332	2.492717573	2.205353045	1.866459026	1.009071492	1.084539361	1.58241451	2.826211002	1.721602064	2.397476912	1.728091193	NA	1.038088356	1.278613325	2.205349553	2.596889215	1.628281459	2.158640031	2.270220155	1.943906945	1.91300142
FKBP15	1.594642445	NA	NA	2.076581163	1.072164775	2.181250461	2.498140665	1.680055383	1.901759819	1.802614348	1.883327917	NA	1.04090892	2.596520434	2.099085231	2.634130665	2.425387819	2.619024799	1.565855874	2.555330696	NA	2.233292516	1.006212366	1.104142078	1.023761742	0.977766588	1.009773544	1.870631539	2.249104297	2.2228423	1.009773544	1.702105385	2.746281404	2.227792213	2.693059592	1.870631539	NA	1.067728116	1.058302867	1.97139987	2.459833671	NA	1.11608807	1.079963606	1.146952958	2.823564202	2.568166342	1.055393059	2.492933013	1.027236548	1.348568023	NA	1.853130301	1.375482094	NA	2.091110368	2.53949867	NA	1.064888122	1.853734599	2.261221574	2.04966807	1.066032432	2.708665717	NA	2.537194769	NA	1.455627809	1.784578727	1.610003516	NA	2.627579894	2.097346274	2.049664844	2.460232818	NA	1.168791563	2.459034268	1.808516305	2.068191747
FKBP1A	1.786653652	1.817150774	1.835526909	2.170787328	NA	1.890703956	2.09211514	1.987030801	1.246625708	NA	1.246625708	NA	1.356888826	1.638231441	NA	NA	1.246625708	NA	NA	1.785558543	1.869451328	2.284707027	NA	1.690071069	NA	NA	NA	2.01837752	NA	NA	NA	1.246625708	0.814265042	1.168158176	NA	2.302182174	1.504843963	1.942236958	1.497646282	1.198031779	1.686957863	1.279633554	2.022524191	2.092249584	0.883231177	NA	2.037979654	1.943490426	1.75138896	1.339183823	NA	NA	NA	1.246625708	NA	NA	NA	NA	1.387893381	2.150740235	2.256136963	1.246625708	1.844992095	1.909818677	NA	1.910624549	NA	1.661158757	NA	NA	NA	NA	2.000288162	2.613562217	1.911454807	1.663396191	NA	2.284386539	NA	1.596601136
